BIGVOLUME,CARVOLUME,MOTORVOLUME
41.20610509,53.20506769,40
41.46180005,51.62156805,39.99974965
40.90130614,52.12992759,39.99912451
41.50982144,53.64352319,40.00006678
41.52653183,54.46641427,39.99852546
41.82006131,52.71332427,40.00009219
41.48828672,54.3337922,40.00038642
41.61948675,54.54803699,39.9987144
41.52295388,52.79677419,40
41.05350051,52.93718039,40
